"ID","MODEL","PAR1","PAR2"
"MA631531529","PC",-0.841,-0.519
"MA626713812","1PL",-0.427,NA
"MA617631497","1PL",2.318,NA
"MA644489506","1PL",0.495,NA
"MA633809846","1PL",0.221,NA
"MA625783927","1PL",-1.019,NA
"MA692810584","1PL",-0.326,NA
"MA646209445","1PL",0.041,NA
"MA698486516","1PL",0.487,NA
"MA643497530","1PL",-0.05,NA
"MA638006230","1PL",1.441,NA
"MA686543491","1PL",1.303,NA
"MA646784849","1PL",-2.04,NA
"MA682826525","1PL",0.021,NA
"MA624266457","1PL",-1.296,NA
"MA663779131","1PL",-1.038,NA
"MA671499706","1PL",-1.279,NA
"MA639976809","PC",-0.546,0.108
"MA667281258","PC",-1.773,-1.235
"MA674737920","PC",-0.805,-0.241
"MA67507146","PC",-0.716,0.17
"MA634952610","PC",-1.46,-1.224
"MA621564462","1PL",-0.308,NA
"MA674962852","1PL",-0.141,NA
"MA662980078","1PL",0,NA
"MA689766746","1PL",0.126,NA
"MA646720481","1PL",0.289,NA
"MA690904834","PC",-0.071,0.667
"MA621516261","1PL",0.83,NA
"MA659199448","1PL",1.319,NA
"MA675560178","1PL",1.37,NA
"MA644678959","1PL",1.414,NA
"MA696020283","1PL",1.662,NA
"MA634903170","1PL",1.731,NA
"MA674384204","1PL",2.291,NA
"MA667629929","PC",2.517,3.021
"MA669941645","1PL",0.097,NA
"MA687040941","1PL",1.622,NA
"MA673215073","1PL",-0.427,NA
"MA62337392","1PL",-0.273,NA
"MA618047738","1PL",0.314,NA
"MA666425775","1PL",2.235,NA
"MA699118796","1PL",0.029,NA
"MA653792097","1PL",1.891,NA
"MA636549959","1PL",1.476,NA
"MA632105949","1PL",-0.528,NA
"MA699635944","1PL",0.473,NA
"MA613457622","1PL",0.321,NA
"MA624223634","PC",2.415,2.961
"MA613179447","PC",1.255,2.171
"MA636198677","PC",-0.211,0.155
"MA698291570","1PL",-1.224,NA
"MA689091390","1PL",-1.12,NA
"MA627957506","1PL",-1.046,NA
"MA617789714","1PL",-1.031,NA
"MA623710439","PC",-0.971,-0.763
"MA671987529","1PL",-0.846,NA
"MA679802904","1PL",-0.261,NA
"MA679971075","1PL",-0.06,NA
"MA646818796","1PL",0.255,NA
"MA691249608","1PL",0.262,NA
"MA666847310","PC",0.183,1.119
"MA658114494","1PL",0.839,NA
"MA678185392","1PL",0.854,NA
"MA610539822","PC",0.731,1.679
"MA667675669","1PL",3.023,NA
"MA685815516","1PL",0.519,NA
"MA699408371","1PL",-0.303,NA
"MA623012078","1PL",2.701,NA
"MA655352599","1PL",0.851,NA
"MA610119314","1PL",3.138,NA
"MA660880585","1PL",0.176,NA
"MA676758250","1PL",0.744,NA
"MA629192375","1PL",0.889,NA
"MA620116809","1PL",1.628,NA
"MA661763208","1PL",0.416,NA
"MA668294842","1PL",0.23,NA
"MA62371126","1PL",0.307,NA
"MA614982197","PC",0.415,1.131
"MA662643644","PC",0.701,0.907
"MA648473732","PC",0.75,1.418
"MA672742604","1PL",0.599,NA
"MA680887401","1PL",1.099,NA
"MA663238402","1PL",0.83,NA
"MA649420574","1PL",-0.425,NA
"MA614156581","1PL",-0.265,NA
"MA637571564","1PL",-0.978,NA
"MA656390867","1PL",-0.905,NA
"MA66101171","1PL",1.609,NA
"MA667637495","1PL",-0.276,NA
"MA692273223","1PL",0.864,NA
"MA610433813","1PL",0.129,NA
"MA670491083","1PL",-1.239,NA
"MA612906358","PC",0.524,1.198
"MA662660589","PC",0.112,0.408
"MA619450943","PC",-0.803,-0.333
"MA664305357","1PL",-1.218,NA
"MA645647914","1PL",-0.077,NA
"MA627645373","1PL",0.664,NA
"MA659201319","1PL",1.014,NA
"MA621097350","1PL",-1.63,NA
"MA699196652","1PL",-0.496,NA
"MA667477163","1PL",-1.361,NA
"MA698712616","1PL",0.775,NA
"MA644837610","PC",0.165,1.141
"MA637456725","PC",0.07,1.056
"MA637054927","1PL",0.38,NA
"MA682407182","1PL",0.152,NA
"MA654800382","1PL",3.207,NA
"MA698990324","1PL",-0.776,NA
"MA665514993","1PL",-1.138,NA
"MA620100685","1PL",0.518,NA
"MA670053926","1PL",0.087,NA
"MA639359035","1PL",0.614,NA
"MA639402192","PC",-1.504,-0.906
"MA632137179","PC",-1.109,-0.741
"MA697414278","1PL",-0.218,NA
"MA618442552","1PL",-0.331,NA
"MA645153745","1PL",-1.271,NA
"MA677990054","1PL",-0.155,NA
"MA685402569","1PL",0.989,NA
"MA674784014","1PL",0.001,NA
"MA618308831","1PL",-0.057,NA
"MA61934524","1PL",-0.141,NA
"MA693737685","1PL",-1.134,NA
"MA62470335","1PL",-0.446,NA
"MA634989290","1PL",1.342,NA
"MA648123589","1PL",0.669,NA
"MA696714636","1PL",-1.087,NA
"MA64374401","1PL",1.336,NA
"MA650123828","1PL",1.306,NA
"MA648855654","1PL",1.334,NA
"MA673858365","PC",0.389,0.727
"MA68379762","PC",0.705,1.047
"MA62205349","PC",0.201,0.699
"MA627811964","PC",1.554,1.866
"MA68431620","1PL",-1.673,NA
"MA666703335","1PL",-1.115,NA
"MA656906224","1PL",-1.104,NA
"MA689388793","1PL",-0.902,NA
"MA677920020","1PL",-0.843,NA
"MA620712008","1PL",-0.728,NA
"MA685643010","PC",-0.723,0.075
"MA667179825","1PL",-0.278,NA
"MA656436046","PC",-0.44,0.092
"MA682344237","PC",-0.456,0.248
"MA675886331","1PL",-0.103,NA
"MA627583524","1PL",0.076,NA
"MA635416557","1PL",0.088,NA
"MA649674765","1PL",0.167,NA
"MA610687686","1PL",0.2,NA
"MA614305827","1PL",0.312,NA
"MA610291186","1PL",0.363,NA
"MA653405742","1PL",0.514,NA
"MA695070156","1PL",1.038,NA
"MA686530258","PC",1.808,2.096
"MA626973337","1PL",-0.472,NA
"MA674764146","1PL",0,NA
"MA670165477","1PL",0.043,NA
"MA690729896","1PL",0.198,NA
"MA696222624","1PL",0.273,NA
"MA619500423","1PL",0.327,NA
"MA645467420","1PL",0.344,NA
"MA625362260","1PL",0.435,NA
"MA648034843","1PL",0.501,NA
"MA634418032","PC",0.03,1.004
"MA690350577","PC",0.439,0.683
"MA641814826","1PL",0.566,NA
"MA6832094","1PL",0.582,NA
"MA612265414","1PL",0.634,NA
"MA686918583","1PL",0.676,NA
"MA626642746","1PL",0.923,NA
"MA631809160","PC",0.736,1.124
"MA627126150","1PL",1.183,NA
"MA660656321","PC",1.101,1.765
"MA64026971","1PL",2.367,NA
"MA648517621","1PL",-1.623,NA
"MA675026609","1PL",-1.594,NA
"MA615166377","1PL",-1.284,NA
"MA682657540","1PL",-1.159,NA
"MA646604458","1PL",-1.121,NA
"MA674364437","1PL",-0.979,NA
"MA630466218","1PL",-0.817,NA
"MA688818886","1PL",-0.816,NA
"MA610925556","1PL",-0.752,NA
"MA658273256","1PL",-0.43,NA
"MA651293937","1PL",-0.097,NA
"MA686411586","PC",-0.283,0.453
"MA645134700","1PL",0.522,NA
"MA646088888","1PL",0.856,NA
"MA655884811","PC",2.064,2.7
"MA634743433","PC",2.527,3.447
