"ID","MODEL","PAR1","PAR2"
"MA343382005","1PL",-1.961,NA
"MA349577279","1PL",-1.564,NA
"MA374081410","1PL",-1.52,NA
"MA345314049","PC",-1.269,-0.545
"MA396275999","1PL",-0.866,NA
"MA395451934","1PL",-0.659,NA
"MA32996845","1PL",-0.498,NA
"MA375138570","1PL",-0.381,NA
"MA397486698","1PL",-0.372,NA
"MA315169131","1PL",0.207,NA
"MA34080985","1PL",0.481,NA
"MA329440733","1PL",1.104,NA
"MA394374440","1PL",1.38,NA
"MA320668877","PC",1.08,1.696
"MA372057869","1PL",-1.269,NA
"MA326327053","1PL",-1.243,NA
"MA34650452","1PL",-1.146,NA
"MA364192298","1PL",-0.853,NA
"MA321820469","1PL",-0.729,NA
"MA353729466","PC",-0.671,-0.001
"MA329545179","1PL",-0.24,NA
"MA392387044","1PL",-0.144,NA
"MA368378405","1PL",-0.129,NA
"MA357710362","1PL",-0.111,NA
"MA379474812","PC",-0.296,0.402
"MA329424892","PC",0.148,0.912
"MA32212812","1PL",0.689,NA
"MA352707142","1PL",0.911,NA
"MA378284285","1PL",1.111,NA
"MA381557337","1PL",-1.196,NA
"MA390300855","1PL",0.118,NA
"MA383104168","1PL",-1.055,NA
"MA350811140","1PL",0.124,NA
"MA342165211","1PL",-1.961,NA
"MA368658431","1PL",0.25,NA
"MA373426496","1PL",0.077,NA
"MA395183062","1PL",-0.103,NA
"MA354332081","1PL",0.288,NA
"MA361158991","1PL",-0.128,NA
"MA310564119","1PL",0.061,NA
"MA347958571","1PL",0.454,NA
"MA32539314","PC",-1.354,-0.986
"MA394972827","PC",-1.53,-0.614
"MA334522765","PC",-0.847,0.081
"MA331568110","1PL",-2.522,NA
"MA37681917","1PL",-2.155,NA
"MA392059759","1PL",-2.037,NA
"MA396249924","1PL",-1.703,NA
"MA32305513","PC",-1.548,-1.038
"MA311841875","PC",-1.577,-0.841
"MA393139386","1PL",-0.874,NA
"MA339649965","1PL",-0.87,NA
"MA374944965","1PL",-0.812,NA
"MA313704595","PC",-0.941,-0.415
"MA36163270","1PL",-0.635,NA
"MA332692312","1PL",-0.214,NA
"MA315436776","1PL",0.129,NA
"MA38049186","1PL",0.611,NA
"MA37314113","1PL",1.088,NA
"MA327887150","1PL",-0.59,NA
"MA382207157","1PL",-1.102,NA
"MA328526742","1PL",-1.604,NA
"MA377763336","1PL",0.358,NA
"MA323343013","1PL",0.631,NA
"MA384383320","1PL",0.131,NA
"MA369116439","1PL",0.668,NA
"MA322061469","1PL",-0.414,NA
"MA354376564","1PL",-1.562,NA
"MA332085223","1PL",0.353,NA
"MA327537159","1PL",-0.584,NA
"MA363557984","1PL",-0.74,NA
"MA367382635","PC",-1.195,-0.645
"MA328146201","PC",-0.891,-0.119
"MA321345829","PC",0.226,1.008
"MA338014922","1PL",-2.375,NA
"MA338531487","PC",-2.766,-1.884
"MA364221501","1PL",-2.07,NA
"MA326391676","1PL",-2.047,NA
"MA335579719","1PL",-0.933,NA
"MA349832042","1PL",-0.899,NA
"MA326857943","1PL",-0.757,NA
"MA341425481","1PL",-0.314,NA
"MA382198581","1PL",-0.248,NA
"MA312171670","1PL",-0.203,NA
"MA332635721","PC",-0.254,0.104
"MA384106648","PC",-0.478,0.396
"MA333821140","1PL",0.023,NA
"MA385873824","1PL",0.063,NA
"MA389688429","1PL",0.336,NA
"MA350989021","1PL",-2.865,NA
"MA359535309","PC",-3.007,-2.035
"MA352421150","1PL",-2.359,NA
"MA332148857","1PL",-2.165,NA
"MA365396286","1PL",-2.132,NA
"MA333984318","1PL",-1.782,NA
"MA357181975","1PL",-1.242,NA
"MA388485859","1PL",-1.076,NA
"MA365271542","1PL",-1.06,NA
"MA369685154","1PL",-1.042,NA
"MA363597670","PC",-1.085,-0.351
"MA329747080","1PL",-0.61,NA
"MA342106326","1PL",-0.351,NA
"MA327850300","PC",-0.193,0.665
"MA329136540","1PL",0.506,NA
"MA383062514","1PL",-2.995,NA
"MA32688047","1PL",-2.403,NA
"MA358667739","1PL",-2.006,NA
"MA375784380","1PL",-1.399,NA
"MA399456252","PC",-1.159,-0.735
"MA358142137","1PL",-0.919,NA
"MA389472619","PC",-0.721,-0.181
"MA361076131","1PL",-0.393,NA
"MA371533559","1PL",-0.362,NA
"MA323577422","1PL",-0.05,NA
"MA35307809","1PL",0.256,NA
"MA378578429","1PL",0.265,NA
"MA327359342","PC",0.14,0.394
"MA350238310","1PL",0.624,NA
"MA372735435","1PL",0.974,NA
"MA392564514","1PL",-3.191,NA
"MA394190358","PC",-3.334,-2.536
"MA352707469","1PL",-2.77,NA
"MA321451524","1PL",-2.339,NA
"MA374062950","PC",-2.704,-1.73
"MA391308627","1PL",-2.169,NA
"MA352893596","1PL",-1.965,NA
"MA382689765","1PL",-1.726,NA
"MA391827178","PC",-1.839,-1.565
"MA318739166","1PL",-1.655,NA
"MA310861778","1PL",-1.508,NA
"MA375230682","1PL",-1.32,NA
"MA340710912","1PL",-1.306,NA
"MA363874340","1PL",-1.12,NA
"MA353805881","1PL",-1.08,NA
"MA398421136","1PL",-0.94,NA
"MA325527015","1PL",-0.784,NA
"MA349905201","1PL",-0.771,NA
"MA386877898","PC",-1.044,-0.49
"MA390267397","1PL",-0.74,NA
"MA311514135","1PL",-0.649,NA
"MA379059283","1PL",-0.548,NA
"MA3659119","1PL",-0.268,NA
"MA345447835","1PL",-0.123,NA
"MA383128977","1PL",-0.028,NA
"MA34281709","PC",-0.029,0.471
"MA38567521","1PL",0.236,NA
"MA346649385","1PL",0.25,NA
"MA334044022","PC",0.297,0.565
"MA37125145","1PL",0.588,NA
"MA380839383","PC",0.431,0.915
"MA329184143","1PL",0.735,NA
"MA343604587","1PL",0.81,NA
"MA31325563","1PL",0.981,NA
"MA360644371","1PL",1.949,NA
"MA38225191","1PL",-0.77,NA
"MA356710531","1PL",-0.791,NA
"MA322720707","1PL",-1.639,NA
"MA337752684","1PL",-1.322,NA
"MA322635745","1PL",-0.714,NA
"MA324546328","1PL",-1.848,NA
"MA344801278","1PL",-1.069,NA
"MA312405577","1PL",-0.59,NA
"MA385946858","1PL",-1.666,NA
"MA324364301","1PL",-0.722,NA
"MA346617249","1PL",-1.136,NA
"MA337676731","1PL",-1.718,NA
"MA351029095","PC",-2.158,-1.18
"MA337882429","PC",-1.273,-0.293
"MA3182367","PC",-2.588,-1.838
"MA386679011","1PL",-0.045,NA
"MA356253296","1PL",-1.151,NA
"MA367421436","1PL",-0.016,NA
"MA341830631","1PL",-0.141,NA
"MA328082839","1PL",-0.966,NA
"MA355353982","1PL",-1.339,NA
"MA346572967","1PL",-0.87,NA
"MA38472333","1PL",-2.481,NA
"MA32652780","1PL",-0.742,NA
"MA341977385","1PL",-3.294,NA
"MA374428854","1PL",0.263,NA
"MA378556955","1PL",-2.26,NA
"MA396065455","PC",-0.082,0.162
"MA344612095","PC",-2.137,-1.769
"MA315363290","PC",-0.848,-0.25
"MA39319289","1PL",-0.122,NA
"MA371651778","1PL",-0.287,NA
"MA359593077","1PL",-0.06,NA
"MA397409177","1PL",-2.032,NA
"MA384970875","1PL",-1.165,NA
"MA393198295","1PL",-1.021,NA
"MA334243543","1PL",-0.27,NA
"MA36636180","1PL",-2.042,NA
"MA324886502","1PL",0.899,NA
"MA366601579","1PL",-0.964,NA
"MA378407098","1PL",-1.33,NA
"MA370501840","1PL",1.604,NA
"MA353393625","1PL",-0.985,NA
"MA324581138","1PL",0.215,NA
"MA350740876","1PL",-1.571,NA
"MA372012684","1PL",-0.482,NA
"MA383660014","PC",0.513,0.917
"MA356059521","PC",-1.513,-0.599
"MA34021148","PC",-0.155,0.645
"MA375877269","PC",-1.028,-0.632
"MA39581412","1PL",-2.654,NA
"MA381532993","1PL",-2.404,NA
"MA382358346","1PL",-1.723,NA
"MA354839432","1PL",-1.579,NA
"MA317510511","1PL",-1.386,NA
"MA370691215","1PL",-1.383,NA
"MA362913843","PC",-0.886,-0.594
"MA393455577","1PL",-0.642,NA
"MA364020793","PC",-0.929,-0.287
"MA392943899","1PL",-0.487,NA
"MA375944993","1PL",-0.12,NA
"MA367032252","PC",-0.065,0.659
"MA33654561","1PL",0.878,NA
"MA328460919","1PL",0.898,NA
"MA382556999","1PL",2.301,NA
"MA318951465","1PL",-2.286,NA
"MA387979896","1PL",-1.512,NA
"MA393001044","1PL",-1.223,NA
"MA316415924","1PL",-1.143,NA
"MA33091856","1PL",-0.942,NA
"MA370450031","1PL",-0.573,NA
"MA332226487","PC",-0.741,-0.043
"MA326418645","1PL",-0.295,NA
"MA318572095","1PL",-0.2,NA
"MA349790355","PC",-0.34,0.314
"MA363394284","1PL",0.026,NA
"MA386864213","1PL",0.107,NA
"MA312368326","1PL",0.481,NA
"MA384542521","PC",0.226,0.872
"MA338330670","1PL",0.829,NA
"MA349023402","1PL",-2.581,NA
"MA395997865","1PL",-2.385,NA
"MA374544822","1PL",-2.354,NA
"MA312253794","PC",-2.475,-2.207
"MA345685118","PC",-2.516,-1.738
"MA351586707","1PL",-1.578,NA
"MA36126491","1PL",-1.386,NA
"MA320789649","1PL",-1.329,NA
"MA335777438","1PL",-1.313,NA
"MA390855412","1PL",-0.986,NA
"MA349122954","1PL",-0.237,NA
"MA331229606","1PL",-0.209,NA
"MA351992432","1PL",0.164,NA
"MA353368379","PC",-0.07,0.418
"MA343713974","1PL",1.659,NA
"MA34961293","1PL",-2.006,NA
"MA310401122","1PL",-0.522,NA
"MA350486888","1PL",-0.94,NA
"MA317565581","1PL",-0.406,NA
"MA328299686","1PL",-0.601,NA
"MA372208638","1PL",-1.29,NA
"MA395325872","1PL",-3.743,NA
"MA331960398","1PL",-1.444,NA
"MA322968206","1PL",-1.803,NA
"MA322749967","1PL",-2.861,NA
"MA360823452","1PL",-1.307,NA
"MA359573117","1PL",-0.794,NA
"MA337464990","PC",0.375,0.713
"MA38943556","PC",-0.666,-0.36
"MA358935019","PC",-1.25,-0.348
"MA379311476","1PL",-1.347,NA
"MA352348452","1PL",-0.391,NA
"MA321874803","1PL",-0.718,NA
"MA321765318","1PL",-1.243,NA
"MA336905374","1PL",-0.961,NA
"MA392862879","1PL",-1.089,NA
"MA336956370","1PL",-1.076,NA
"MA393999532","1PL",0.475,NA
"MA375703162","PC",0.015,0.373
"MA395792114","PC",0.343,1.313
"MA364011312","1PL",-0.529,NA
"MA359707571","1PL",-1.322,NA
"MA387356521","1PL",-2.158,NA
"MA387188934","1PL",-0.744,NA
"MA335191142","1PL",-2.237,NA
"MA311653025","1PL",0.007,NA
"MA39788062","1PL",-1.252,NA
"MA375243314","1PL",-0.915,NA
"MA316929672","1PL",-0.729,NA
"MA361918231","1PL",-2.537,NA
"MA396896673","1PL",1.129,NA
"MA368724378","1PL",-1.446,NA
"MA363781368","PC",-1.639,-0.825
"MA379748572","PC",-0.587,0.305
"MA319747051","PC",-1.071,-0.537
"MA36177866","1PL",-2.512,NA
"MA383163571","PC",-2.614,-2.192
"MA36300259","1PL",-2.307,NA
"MA315615442","1PL",-0.931,NA
"MA329795483","1PL",-0.779,NA
"MA382955384","1PL",-0.726,NA
"MA366354209","PC",-0.869,0.043
"MA337522","PC",-0.431,-0.157
"MA343546182","1PL",-0.259,NA
"MA381123887","1PL",-0.179,NA
"MA313805390","1PL",-0.002,NA
"MA328400762","1PL",0.092,NA
"MA365723707","1PL",0.5,NA
"MA327031046","1PL",0.78,NA
"MA323152708","1PL",1.179,NA
"MA321435810","1PL",-2.371,NA
"MA35803539","1PL",-0.311,NA
"MA315944823","1PL",-0.17,NA
"MA345847305","1PL",-1.665,NA
"MA32306249","PC",-1.878,-1.284
"MA342657866","PC",-1.289,-0.989
"MA332409827","1PL",-0.998,NA
"MA331684573","1PL",-0.842,NA
"MA381735462","1PL",-0.57,NA
"MA387771373","1PL",-0.165,NA
"MA344713620","1PL",-0.064,NA
"MA394772189","1PL",0.007,NA
"MA346462011","1PL",0.209,NA
"MA338300435","PC",0.098,0.788
"MA354248901","1PL",0.805,NA
"MA37129152","1PL",-2.954,NA
"MA322408225","1PL",-2.944,NA
"MA395729605","1PL",-2.904,NA
"MA328748703","PC",-3.063,-2.451
"MA376561940","1PL",-2.731,NA
"MA345269334","PC",-2.687,-1.711
"MA360735789","1PL",-2.191,NA
"MA357488041","1PL",-2.138,NA
"MA322997068","PC",-2.227,-1.499
"MA353158870","1PL",-1.788,NA
"MA394832146","PC",-1.928,-1.324
"MA320910426","1PL",-1.433,NA
"MA32509120","1PL",-1.26,NA
"MA377471603","1PL",-1.232,NA
"MA359177373","1PL",-1.218,NA
"MA337616893","1PL",-1.113,NA
"MA333979056","PC",-1.194,-0.936
"MA353063631","1PL",-0.855,NA
"MA33643047","1PL",-0.478,NA
"MA311521433","1PL",-0.227,NA
"MA315687101","1PL",-0.096,NA
"MA349708698","1PL",-0.03,NA
"MA33316873","1PL",0.07,NA
"MA382780584","1PL",0.093,NA
"MA397003980","1PL",0.255,NA
"MA373751908","1PL",0.343,NA
"MA368947627","PC",0.129,0.877
"MA323734215","1PL",1.073,NA
"MA398978642","1PL",1.107,NA
"MA377412242","1PL",1.383,NA
"MA34625787","PC",-3.491,-2.905
"MA32009211","1PL",-3.105,NA
"MA360350394","PC",-2.697,-2.495
"MA387433121","1PL",-1.981,NA
"MA336175020","1PL",-1.699,NA
"MA374135210","1PL",-1.643,NA
"MA372479903","1PL",-1.353,NA
"MA350696983","1PL",-1.34,NA
"MA316076730","1PL",-1.123,NA
"MA33509006","PC",-1.419,-0.773
"MA319995038","1PL",-0.974,NA
"MA334455652","1PL",-0.755,NA
"MA398939915","1PL",0.505,NA
"MA394527561","1PL",1.042,NA
"MA330059740","1PL",1.601,NA
"MA33176437","1PL",-2.484,NA
"MA352905845","1PL",-1.027,NA
"MA372565040","1PL",-2.569,NA
"MA324053877","1PL",-0.645,NA
"MA345942626","1PL",-0.789,NA
"MA354947305","1PL",0.54,NA
"MA390198475","1PL",0.477,NA
"MA34508586","1PL",-0.227,NA
"MA380452132","1PL",-0.239,NA
"MA389859345","1PL",-1.755,NA
"MA366743035","1PL",-1.12,NA
"MA343275404","1PL",-0.109,NA
"MA3653852","1PL",-0.544,NA
"MA321370120","1PL",0.13,NA
"MA353926143","1PL",-0.967,NA
"MA316413017","1PL",-2.229,NA
"MA342174470","PC",-2.065,-1.419
"MA391393013","PC",-1.964,-1.336
"MA354154680","PC",-3.331,-2.765
"MA391564764","PC",-3.208,-2.392
