"ID","MODEL","PAR1","PAR2"
"MA890998430","1PL",1.756,NA
"MA871719237","1PL",2.34,NA
"MA851509099","1PL",2.581,NA
"MA853524809","1PL",3.083,NA
"MA893651630","1PL",3.758,NA
"MA847514895","1PL",3.646,NA
"MA851805643","1PL",0.21,NA
"MA851112946","1PL",2.214,NA
"MA822667300","1PL",3.008,NA
"MA879994060","1PL",2.502,NA
"MA824527947","1PL",1.094,NA
"MA832048862","1PL",2.007,NA
"MA883829923","1PL",-0.204,NA
"MA875297567","1PL",0.693,NA
"MA837539987","1PL",0.824,NA
"MA819888555","1PL",0.781,NA
"MA873724931","1PL",1.322,NA
"MA836304755","1PL",1.273,NA
"MA875221090","1PL",2.037,NA
"MA850661464","1PL",-0.5,NA
"MA818820524","1PL",-0.274,NA
"MA895229027","PC",2.809,3.123
"MA837003043","PC",0.19,0.486
"MA870284196","PC",0.67,1.38
"MA828143685","PC",0.569,1.233
"MA857300717","1PL",2.219,NA
"MA811578066","1PL",0.859,NA
"MA851590687","1PL",0.321,NA
"MA825874730","1PL",0.61,NA
"MA897563848","1PL",0.701,NA
"MA812187610","1PL",1.586,NA
"MA862329811","1PL",-0.608,NA
"MA84460580","1PL",0.305,NA
"MA810200443","1PL",0.633,NA
"MA835474094","1PL",3.743,NA
"MA817493442","1PL",0.349,NA
"MA850583575","1PL",2.04,NA
"MA898035317","1PL",1.735,NA
"MA846450437","1PL",-0.35,NA
"MA837805737","1PL",2.378,NA
"MA818472016","1PL",1.741,NA
"MA84287175","PC",0.523,1.041
"MA868438255","PC",2.412,2.622
"MA8718538","PC",0.706,0.908
"MA850087655","PC",1.182,1.438
"MA845091985","1PL",-0.056,NA
"MA8529716","1PL",1.542,NA
"MA835559748","1PL",1.919,NA
"MA822705374","1PL",0.557,NA
"MA856025477","1PL",0.557,NA
"MA830503429","1PL",1.206,NA
"MA899661232","1PL",2.418,NA
"MA852298450","1PL",-0.339,NA
"MA831949354","1PL",1.401,NA
"MA819634411","1PL",2.291,NA
"MA876035660","1PL",2.082,NA
"MA834552455","1PL",1.016,NA
"MA85977171","1PL",2.36,NA
"MA871205711","1PL",0.559,NA
"MA87572630","1PL",1.052,NA
"MA894694283","1PL",1.262,NA
"MA871059604","PC",1.115,1.617
"MA820571212","PC",1.345,1.805
"MA883118614","PC",3.732,4.214
"MA826391671","PC",0.162,1.042
